Report_ID,Report_Name,Department,Client_Region,Created_Date,Last_Refreshed_Date,Refresh_Frequency,Report_Status,Issues_Raised,Issues_Resolved,Avg_Resolution_Time_Hours,SLA_Status,Maintenance_Hours,Change_Requests,Report_Owner
53,Inventory Aging,Procurement,India,19-08-2023,22-02-2024,Daily,Active,11,10,62.92,Met,16.1,9,External Vendor
54,Sales Summary,Finance,South Africa,10-04-2024,29-03-2024,Monthly,Active,7,11,27.74,Met,9.4,5,External Vendor
55,Inventory Aging,IT,USA,11-01-2024,29-01-2024,Weekly,Active,13,13,65.72,Met,6.3,4,IT Support
56,HR Attrition,Finance,South Africa,28-03-2023,15-08-2024,Monthly,Active,6,2,58.12,Met,17.9,6,BI Team
57,Inventory Aging,Finance,South Africa,26-06-2023,22-10-2024,Daily,Active,9,8,57.13,Met,19.7,8,Finance Team
58,Procurement Spend,Operations,UK,22-06-2024,30-12-2024,Daily,Active,8,10,48.99,Breached,4.5,7,IT Support
59,Procurement Spend,HR,India,25-02-2023,27-05-2024,Weekly,Deprecated,13,14,37.98,Met,4.9,9,Finance Team
60,Procurement Spend,HR,UK,03-03-2024,11-11-2024,Daily,Active,13,10,10,Breached,13.7,0,IT Support
61,Procurement Spend,Operations,UAE,15-12-2024,22-12-2024,Daily,Deprecated,2,8,61.68,Met,18.4,7,External Vendor
62,HR Attrition,Finance,UAE,29-11-2023,02-06-2024,Daily,Under Maintenance,7,12,6.61,Met,2,1,BI Team
63,Finance P&L,Finance,UAE,09-07-2024,01-07-2024,Daily,Active,13,1,27.61,Met,13.7,0,BI Team
64,Maintenance SLA,Procurement,UK,23-01-2023,01-08-2024,Weekly,Under Maintenance,10,3,64.99,Met,9.1,0,BI Team
65,Sales Summary,IT,South Africa,18-04-2024,30-07-2024,Weekly,Active,6,14,70.97,Met,1.2,2,Finance Team
66,Procurement Spend,Finance,UAE,25-10-2023,14-05-2024,Daily,Deprecated,8,8,22.81,Met,10.2,8,External Vendor
67,Inventory Aging,IT,UAE,23-03-2024,15-11-2024,Weekly,Under Maintenance,0,14,20.36,Met,18.5,0,BI Team
68,Procurement Spend,Sales,UK,24-12-2024,01-10-2024,Daily,Active,5,8,54.24,Met,15.4,9,IT Support
69,Inventory Aging,IT,South Africa,22-08-2024,05-08-2024,Weekly,Active,1,1,59.39,Met,17.8,6,IT Support
70,Maintenance SLA,Finance,UAE,12-08-2023,16-10-2024,Weekly,Active,7,12,43.86,Met,15,2,Finance Team
71,Maintenance SLA,Procurement,India,09-10-2023,02-06-2024,Weekly,Active,0,6,68.46,Met,0.8,7,External Vendor
72,Maintenance SLA,Sales,UAE,02-01-2023,31-05-2024,Weekly,Under Maintenance,2,10,27.21,Breached,7.2,9,External Vendor
73,Inventory Aging,Procurement,UK,08-06-2024,17-12-2024,Daily,Active,14,13,69.16,Breached,10.7,3,Finance Team
74,Procurement Spend,IT,UK,22-01-2024,09-02-2024,Daily,Active,9,3,35.82,Met,4.8,3,BI Team
75,Maintenance SLA,Procurement,India,13-04-2023,13-01-2024,Daily,Active,11,9,10.14,Met,5.8,7,Finance Team
76,HR Attrition,IT,South Africa,31-01-2024,18-11-2024,Monthly,Under Maintenance,5,11,44.04,Breached,6.1,5,IT Support
77,Inventory Aging,HR,India,05-09-2023,14-01-2024,Daily,Active,10,11,46.32,Met,0.8,3,Finance Team
78,Inventory Aging,IT,UAE,21-07-2023,07-01-2024,Daily,Deprecated,10,1,35.16,Met,13.7,9,BI Team
79,Procurement Spend,Operations,UK,03-05-2024,26-02-2024,Daily,Under Maintenance,3,10,63.5,Met,7.1,9,Finance Team
80,Inventory Aging,Procurement,South Africa,09-01-2024,15-11-2024,Monthly,Active,12,7,32.92,Met,19.6,2,External Vendor
81,Inventory Aging,Finance,UAE,08-11-2024,21-02-2024,Weekly,Active,13,12,15.49,Met,11.5,9,IT Support
82,Maintenance SLA,HR,India,04-04-2024,23-02-2024,Daily,Active,0,14,62.78,Met,12.1,9,Finance Team
83,Procurement Spend,Sales,UAE,28-04-2023,01-05-2024,Weekly,Active,7,4,42.22,Met,13.2,1,Finance Team
84,Maintenance SLA,IT,India,09-02-2023,23-09-2024,Monthly,Active,13,7,27.33,Met,7.4,4,External Vendor
85,Maintenance SLA,Operations,USA,19-02-2023,22-12-2024,Daily,Active,12,3,54.7,Breached,5.8,8,External Vendor
86,Procurement Spend,HR,USA,06-12-2024,20-08-2024,Monthly,Under Maintenance,4,5,6.71,Met,15.7,9,IT Support
87,Sales Summary,Procurement,UK,17-12-2023,10-04-2024,Daily,Active,12,8,46.06,Met,0.9,8,BI Team
88,Maintenance SLA,HR,South Africa,02-12-2024,26-10-2024,Daily,Active,0,11,70.14,Breached,5.4,7,Finance Team
89,HR Attrition,Finance,UK,10-01-2023,13-06-2024,Weekly,Under Maintenance,3,3,10.07,Met,18.9,8,BI Team
90,HR Attrition,Finance,UAE,19-09-2023,23-10-2024,Weekly,Active,11,2,31.17,Met,13.7,2,External Vendor
91,Inventory Aging,Finance,USA,07-11-2023,18-08-2024,Daily,Active,0,6,36.5,Met,13.8,0,IT Support
92,HR Attrition,Operations,UK,26-07-2024,20-12-2024,Weekly,Under Maintenance,5,14,31.6,Breached,6.8,1,External Vendor
93,Inventory Aging,HR,India,30-05-2023,02-11-2024,Weekly,Active,9,6,52.36,Met,6.2,0,External Vendor
94,Sales Summary,HR,South Africa,06-03-2024,24-11-2024,Daily,Active,1,6,6.75,Met,8.8,5,IT Support
95,Procurement Spend,Procurement,USA,26-11-2023,16-11-2024,Weekly,Active,11,4,19.06,Breached,12.1,4,IT Support
96,Procurement Spend,Sales,South Africa,12-07-2024,15-11-2024,Weekly,Active,1,1,3.91,Met,7.5,7,BI Team
97,Procurement Spend,Finance,South Africa,07-08-2023,18-04-2024,Weekly,Active,8,6,9.23,Met,5.3,3,Finance Team
98,HR Attrition,Sales,USA,01-03-2023,21-08-2024,Daily,Active,5,4,47.16,Met,10.4,8,Finance Team
99,Sales Summary,Sales,India,30-09-2023,22-08-2024,Daily,Active,10,2,26.79,Met,16.2,1,BI Team
100,HR Attrition,Finance,India,13-08-2024,09-12-2024,Daily,Deprecated,13,0,17.42,Met,3.4,2,IT Support
101,HR Attrition,Finance,India,08-07-2024,16-11-2024,Monthly,Under Maintenance,5,14,2.36,Breached,19.1,0,External Vendor
102,Sales Summary,Procurement,South Africa,25-09-2023,16-03-2024,Weekly,Active,1,10,46.4,Met,12.7,0,External Vendor
103,Sales Summary,Operations,India,08-05-2023,20-10-2024,Weekly,Active,9,7,7.15,Met,6,1,IT Support
104,Sales Summary,Finance,UAE,05-03-2023,16-08-2024,Weekly,Deprecated,6,5,26.01,Breached,0.9,0,BI Team
105,Sales Summary,Sales,UAE,17-01-2024,21-05-2024,Daily,Active,7,10,44.08,Met,12.7,0,BI Team
106,Procurement Spend,Procurement,India,20-12-2024,23-12-2024,Weekly,Under Maintenance,13,2,44.47,Met,10,4,External Vendor
107,Finance P&L,HR,India,31-07-2023,20-12-2024,Monthly,Active,4,5,40.55,Breached,12.3,5,External Vendor
108,Finance P&L,Procurement,USA,20-11-2024,22-04-2024,Weekly,Active,10,3,18.25,Met,18.9,2,External Vendor
109,Sales Summary,Finance,USA,04-06-2023,24-11-2024,Daily,Under Maintenance,12,10,60.93,Met,6.3,2,External Vendor
110,Finance P&L,IT,UK,05-10-2023,26-06-2024,Weekly,Deprecated,3,10,70.94,Met,13,3,IT Support
111,Finance P&L,Finance,South Africa,29-11-2024,14-12-2024,Daily,Active,11,7,37.07,Met,12.8,7,BI Team
112,Sales Summary,Operations,South Africa,16-07-2023,25-02-2024,Weekly,Active,11,8,61.2,Breached,19.1,4,Finance Team
113,Finance P&L,Procurement,USA,15-08-2024,28-12-2024,Weekly,Active,13,1,57.99,Met,19,6,BI Team
114,HR Attrition,Finance,UAE,14-08-2023,12-07-2024,Daily,Active,10,12,27.06,Breached,18.6,4,IT Support
115,Inventory Aging,Sales,UK,23-10-2024,18-06-2024,Weekly,Deprecated,7,2,18.08,Breached,16.5,0,Finance Team
116,Inventory Aging,Sales,USA,26-03-2024,13-02-2024,Daily,Deprecated,4,8,16.21,Breached,1.3,1,External Vendor
117,Sales Summary,Procurement,UK,11-12-2024,28-07-2024,Monthly,Active,9,4,28.31,Met,19.4,1,IT Support
118,Procurement Spend,Operations,South Africa,11-05-2024,07-05-2024,Weekly,Active,5,3,30.99,Met,0.8,6,BI Team
119,Sales Summary,IT,South Africa,28-09-2023,17-12-2024,Daily,Active,2,7,1.8,Met,10.8,6,Finance Team
120,Procurement Spend,Procurement,South Africa,12-03-2023,18-08-2024,Daily,Active,0,0,51.79,Met,13.7,0,IT Support
121,Inventory Aging,Operations,UAE,11-05-2023,27-02-2024,Weekly,Active,5,2,16.03,Met,18.9,4,BI Team
122,Sales Summary,Sales,USA,06-06-2023,22-10-2024,Weekly,Active,12,12,48.94,Met,19.5,1,Finance Team
123,Maintenance SLA,Finance,UK,25-01-2024,14-10-2024,Daily,Under Maintenance,1,3,68.26,Met,2.6,3,Finance Team
124,HR Attrition,HR,USA,01-04-2023,22-11-2024,Daily,Active,10,10,30.97,Met,7.4,9,External Vendor
125,Finance P&L,Finance,South Africa,24-03-2024,13-04-2024,Monthly,Under Maintenance,9,9,10.15,Met,17,0,External Vendor
126,Procurement Spend,Sales,South Africa,24-11-2024,24-07-2024,Daily,Active,3,6,17.57,Met,19.9,2,Finance Team
127,Maintenance SLA,IT,USA,11-06-2023,08-05-2024,Daily,Deprecated,6,2,42.5,Met,4,6,BI Team
128,Finance P&L,Sales,India,28-11-2024,14-06-2024,Weekly,Active,8,10,55.88,Breached,13.5,3,BI Team
129,Finance P&L,Finance,India,08-01-2023,14-04-2024,Daily,Active,1,2,4.1,Breached,6.4,6,External Vendor
130,Sales Summary,Finance,USA,21-04-2023,29-12-2024,Daily,Deprecated,5,13,1.4,Met,18.9,6,IT Support
131,Finance P&L,IT,South Africa,23-08-2024,19-12-2024,Monthly,Active,14,12,14.09,Met,3.2,6,External Vendor
132,HR Attrition,IT,UK,16-10-2024,04-09-2024,Daily,Under Maintenance,2,4,61.87,Breached,4.3,9,Finance Team
133,Maintenance SLA,Sales,India,07-02-2023,18-03-2024,Weekly,Deprecated,0,12,14.7,Met,2,7,Finance Team
134,Finance P&L,Finance,USA,14-03-2023,01-04-2024,Daily,Active,8,6,58.66,Met,3.9,2,Finance Team
135,Sales Summary,HR,UAE,10-10-2023,28-05-2024,Daily,Active,5,7,12.39,Met,14.4,8,Finance Team
136,HR Attrition,HR,USA,24-07-2023,07-09-2024,Daily,Under Maintenance,12,3,2.8,Met,8,1,External Vendor
137,Inventory Aging,Procurement,South Africa,10-08-2024,26-02-2024,Weekly,Deprecated,7,7,66.77,Met,5.1,9,External Vendor
138,Maintenance SLA,HR,USA,11-01-2023,27-01-2024,Weekly,Deprecated,12,5,54.96,Met,14.7,5,External Vendor
139,Finance P&L,Sales,India,23-02-2024,12-03-2024,Daily,Under Maintenance,1,10,40.97,Met,18.3,2,Finance Team
140,Sales Summary,Sales,India,09-07-2024,21-06-2024,Monthly,Active,9,5,24.29,Breached,4.7,2,External Vendor
141,Inventory Aging,Procurement,USA,27-11-2024,29-08-2024,Monthly,Active,5,12,68.8,Breached,8.6,1,IT Support
142,Inventory Aging,Operations,UK,09-12-2023,19-02-2024,Daily,Under Maintenance,9,11,27.21,Met,2.5,7,External Vendor
143,Procurement Spend,Procurement,USA,28-09-2024,19-10-2024,Daily,Active,12,0,53.86,Breached,2,4,External Vendor
144,HR Attrition,Operations,UK,17-12-2024,16-08-2024,Monthly,Active,9,1,17.52,Met,5,5,IT Support
145,Finance P&L,Operations,India,12-06-2023,15-11-2024,Weekly,Deprecated,3,1,1.7,Breached,10.7,5,BI Team
146,Sales Summary,Finance,UAE,22-08-2024,18-08-2024,Weekly,Active,8,1,63.81,Breached,1.5,1,BI Team
147,Procurement Spend,IT,UK,14-05-2024,03-08-2024,Weekly,Active,1,0,40,Met,3.1,2,External Vendor
148,HR Attrition,HR,USA,14-04-2024,17-03-2024,Daily,Deprecated,7,12,38.5,Breached,15.2,0,Finance Team
149,Procurement Spend,Operations,South Africa,27-07-2023,21-06-2024,Daily,Deprecated,6,1,27.11,Met,14.5,9,External Vendor
150,Maintenance SLA,Finance,South Africa,04-09-2024,03-03-2024,Weekly,Deprecated,3,10,23.39,Met,2.4,5,External Vendor
151,HR Attrition,Procurement,USA,07-06-2024,24-03-2024,Daily,Active,4,9,22.22,Met,16.6,2,IT Support
152,HR Attrition,Procurement,India,11-06-2024,24-07-2024,Weekly,Under Maintenance,11,2,64.01,Met,5.3,6,Finance Team
153,Finance P&L,Operations,India,19-05-2024,19-11-2024,Daily,Active,7,9,24.57,Met,18.2,7,External Vendor
154,HR Attrition,Finance,India,20-12-2023,19-03-2024,Daily,Active,3,14,36.43,Met,8.4,3,External Vendor
155,Procurement Spend,Sales,USA,03-12-2024,02-11-2024,Daily,Deprecated,10,7,18.7,Met,16.2,9,IT Support
156,HR Attrition,IT,South Africa,04-09-2024,04-08-2024,Daily,Active,10,14,70.14,Breached,18.7,2,Finance Team
157,Finance P&L,IT,UAE,28-11-2024,11-07-2024,Monthly,Active,10,6,21,Met,19.8,7,External Vendor
158,Finance P&L,HR,South Africa,19-04-2024,15-07-2024,Monthly,Under Maintenance,1,14,8.64,Met,9.6,5,External Vendor
159,Maintenance SLA,Operations,India,16-05-2024,23-04-2024,Daily,Active,6,2,53.65,Breached,11.5,9,External Vendor
160,Procurement Spend,Sales,USA,17-08-2024,06-02-2024,Weekly,Active,5,9,71.06,Met,7.4,3,External Vendor
161,Inventory Aging,HR,USA,19-05-2023,06-07-2024,Monthly,Under Maintenance,1,0,14.32,Met,2.1,2,Finance Team
162,Inventory Aging,Sales,UAE,27-04-2023,22-05-2024,Daily,Deprecated,12,2,4.54,Met,2.8,8,Finance Team
163,HR Attrition,IT,South Africa,03-12-2024,11-03-2024,Weekly,Active,10,0,15.82,Met,12.3,9,External Vendor
164,Maintenance SLA,Finance,India,23-08-2023,27-11-2024,Weekly,Deprecated,1,10,66.49,Breached,17.9,4,Finance Team
165,Sales Summary,Operations,UAE,05-11-2023,07-03-2024,Daily,Active,7,3,6.52,Met,10.1,4,IT Support
166,HR Attrition,Sales,India,23-04-2024,02-11-2024,Daily,Active,7,13,10.62,Met,2.5,5,Finance Team
167,Maintenance SLA,Sales,South Africa,24-09-2023,28-10-2024,Daily,Under Maintenance,4,12,28.23,Breached,18.1,2,BI Team
168,Procurement Spend,Sales,UAE,30-10-2023,18-05-2024,Daily,Active,6,13,11.46,Met,9.1,0,External Vendor
169,Procurement Spend,IT,India,15-08-2024,24-03-2024,Daily,Deprecated,12,6,61.27,Met,3.5,1,BI Team
170,Procurement Spend,Operations,UK,18-02-2023,28-04-2024,Weekly,Active,1,9,64.57,Met,10.8,1,Finance Team
171,Procurement Spend,Finance,USA,02-06-2023,02-07-2024,Weekly,Deprecated,14,0,3.54,Met,7.9,2,Finance Team
172,Procurement Spend,Finance,South Africa,24-02-2023,06-06-2024,Daily,Under Maintenance,10,7,26.86,Met,9.3,7,Finance Team
173,Maintenance SLA,Sales,USA,02-01-2024,24-10-2024,Daily,Active,2,7,60.15,Met,2.6,3,External Vendor
174,Maintenance SLA,Finance,India,06-01-2024,25-08-2024,Weekly,Active,13,12,49.17,Met,2,4,IT Support
175,Finance P&L,HR,UAE,17-04-2023,08-02-2024,Weekly,Active,13,11,3.54,Met,16.4,7,BI Team
176,Inventory Aging,Finance,India,27-10-2024,01-08-2024,Monthly,Under Maintenance,13,5,4.08,Met,17.4,3,IT Support
177,Procurement Spend,Sales,UK,04-11-2024,17-07-2024,Weekly,Active,4,0,12.38,Met,2.7,4,Finance Team
178,Sales Summary,HR,UK,10-05-2023,07-10-2024,Monthly,Active,4,8,28.35,Met,3,7,IT Support
179,Maintenance SLA,Operations,South Africa,31-01-2023,19-12-2024,Weekly,Under Maintenance,6,13,32.76,Met,8.4,8,BI Team
180,Sales Summary,Procurement,USA,27-03-2023,12-01-2024,Daily,Active,8,2,46.78,Met,4.5,6,External Vendor
181,Sales Summary,IT,India,17-07-2023,07-06-2024,Monthly,Active,7,0,56.65,Met,0.9,7,External Vendor
182,Sales Summary,Finance,UK,03-10-2024,14-02-2024,Daily,Active,7,6,36.02,Breached,18.5,2,IT Support
183,Finance P&L,HR,UAE,29-01-2024,14-06-2024,Daily,Active,13,3,68.31,Met,4.9,4,BI Team
184,Maintenance SLA,Procurement,India,11-06-2024,12-07-2024,Weekly,Active,8,10,23.44,Met,10.9,2,Finance Team
185,Sales Summary,Operations,South Africa,20-02-2023,14-08-2024,Daily,Under Maintenance,4,11,39.37,Breached,8.2,0,BI Team
186,Procurement Spend,Procurement,UAE,02-10-2024,26-03-2024,Monthly,Under Maintenance,12,4,32.79,Met,16.1,1,External Vendor
187,HR Attrition,Operations,USA,18-10-2023,20-05-2024,Weekly,Under Maintenance,3,12,71.44,Met,14,0,IT Support
188,Sales Summary,Sales,South Africa,05-09-2024,19-06-2024,Weekly,Deprecated,6,9,66.79,Met,1.4,9,BI Team
189,Finance P&L,Sales,USA,16-06-2023,22-07-2024,Daily,Under Maintenance,5,2,43.16,Breached,19.7,6,Finance Team
190,Maintenance SLA,IT,USA,08-08-2024,23-09-2024,Monthly,Active,9,2,35.08,Breached,13.3,5,External Vendor
191,Finance P&L,IT,UK,06-07-2023,29-05-2024,Monthly,Active,14,14,59.4,Met,6.7,0,Finance Team
192,Sales Summary,Operations,USA,17-03-2023,30-06-2024,Weekly,Active,12,0,58.22,Breached,17.6,0,BI Team
193,Maintenance SLA,Procurement,UAE,13-02-2023,28-10-2024,Weekly,Under Maintenance,11,4,24.19,Met,5.4,6,External Vendor
194,HR Attrition,IT,UAE,18-05-2024,28-08-2024,Daily,Active,1,5,24.04,Met,1.5,0,External Vendor
195,Sales Summary,Finance,UAE,04-10-2024,24-10-2024,Weekly,Active,14,12,36.22,Met,14.5,4,External Vendor
196,Finance P&L,Procurement,India,16-01-2024,27-08-2024,Monthly,Active,5,3,21.38,Breached,11.7,1,BI Team
197,Inventory Aging,IT,UK,07-02-2023,18-01-2024,Monthly,Under Maintenance,10,11,19.84,Met,6.4,3,BI Team
198,Procurement Spend,Procurement,UK,20-04-2023,15-07-2024,Weekly,Active,12,9,16.86,Breached,9,4,External Vendor
199,Finance P&L,Finance,UAE,03-04-2024,28-01-2024,Daily,Active,2,10,65.22,Breached,5.6,2,BI Team
200,Maintenance SLA,Procurement,India,08-04-2023,26-12-2024,Monthly,Active,2,7,27.19,Breached,12.3,2,External Vendor
201,Sales Summary,Procurement,USA,13-02-2024,25-12-2024,Monthly,Active,5,0,41.88,Met,6.2,8,BI Team
202,Procurement Spend,HR,USA,15-04-2024,05-09-2024,Monthly,Active,1,10,33.18,Met,10.7,9,External Vendor
203,Sales Summary,Operations,USA,16-11-2023,19-12-2024,Daily,Active,12,0,5.11,Met,19.4,7,External Vendor
204,Maintenance SLA,Sales,UK,29-12-2023,22-06-2024,Daily,Under Maintenance,13,7,51.75,Breached,19.7,7,Finance Team
205,Sales Summary,IT,USA,07-09-2023,18-01-2024,Monthly,Deprecated,5,1,37.58,Met,8.8,0,BI Team
206,Inventory Aging,IT,India,04-01-2023,03-01-2024,Monthly,Active,8,9,23.46,Met,3.7,7,Finance Team
207,Procurement Spend,IT,India,21-03-2024,09-09-2024,Daily,Deprecated,12,1,30.21,Met,15,3,IT Support
208,Procurement Spend,Operations,USA,16-04-2024,20-12-2024,Monthly,Active,8,1,17.92,Met,4.5,9,BI Team
209,Maintenance SLA,Procurement,UK,01-03-2023,22-05-2024,Daily,Active,14,9,26.4,Breached,15.6,3,Finance Team
210,Inventory Aging,Finance,South Africa,15-11-2023,30-01-2024,Daily,Under Maintenance,12,11,52.93,Breached,11.2,8,BI Team
211,Finance P&L,Finance,UAE,13-01-2023,20-02-2024,Monthly,Active,10,3,55.7,Met,19.2,1,Finance Team
212,Sales Summary,Sales,USA,24-05-2024,03-02-2024,Daily,Under Maintenance,7,13,44.63,Breached,11.4,8,IT Support
213,HR Attrition,Sales,USA,02-02-2024,21-08-2024,Monthly,Active,3,0,66.26,Met,5,1,External Vendor
214,Sales Summary,Sales,UAE,18-08-2024,18-04-2024,Daily,Active,5,14,13.42,Met,18.5,1,IT Support
215,Sales Summary,Finance,South Africa,09-01-2024,08-10-2024,Daily,Active,13,14,38.5,Breached,7.3,8,Finance Team
216,Finance P&L,Procurement,USA,29-04-2024,14-07-2024,Daily,Active,7,9,50.25,Met,12.2,7,External Vendor
217,Sales Summary,Sales,USA,08-12-2023,26-02-2024,Daily,Active,4,0,6.26,Met,13.7,4,BI Team
218,Inventory Aging,Sales,South Africa,04-04-2024,07-03-2024,Weekly,Active,9,4,18.95,Met,8.1,4,BI Team
219,Inventory Aging,Finance,UAE,18-12-2023,29-01-2024,Daily,Active,13,13,48.65,Met,14.8,3,Finance Team
